Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/feature_extraction_beit.py:28: FutureWarning: The class BeitFeatureExtractor is deprecated and will be removed in version 5 of Transformers. Please use BeitImageProcessor instead.
  warnings.warn(
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/image_processing_beit.py:110: FutureWarning: The `reduce_labels` parameter is deprecated and will be removed in a future version. Please use `do_reduce_labels` instead.
  warnings.warn(
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
epoch: 0
It looks like you are trying to rescale already rescaled images. If the input images have pixel values between 0 and 1, set `do_rescale=False` to avoid rescaling them again.
tensor(4.8747, device='cuda:0', grad_fn=<NllLossBackward0>)
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
tensor(3.9738, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9989, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7707, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5246, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5765, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0936, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0114, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2152, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4766, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8322, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3982, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6598, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8495, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0973, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9219, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5725, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0932, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8531, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1499, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9999, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7970, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2601, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8887, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1715, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2428, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2944, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6204, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8563, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7700, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8368, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4345, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4275, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9507, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6165, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9102, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0668, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3915, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6693, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3575, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1715, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2744, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5904, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7494, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4591, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1076, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6609, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4609, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4602, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7721, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2836, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7325, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9719, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6262, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5801, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7334, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7982, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7857, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2018, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9858, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6144, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.2777, device='cuda:0', grad_fn=<NllLossBackward0>)
