Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/feature_extraction_beit.py:28: FutureWarning: The class BeitFeatureExtractor is deprecated and will be removed in version 5 of Transformers. Please use BeitImageProcessor instead.
  warnings.warn(
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/image_processing_beit.py:110: FutureWarning: The `reduce_labels` parameter is deprecated and will be removed in a future version. Please use `do_reduce_labels` instead.
  warnings.warn(
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
epoch: 0
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
It looks like you are trying to rescale already rescaled images. If the input images have pixel values between 0 and 1, set `do_rescale=False` to avoid rescaling them again.
tensor(2.2206, device='cuda:0', grad_fn=<NllLossBackward0>)
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
tensor(5.1360, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.2170, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9009, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7063, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5845, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8500, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0320, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.9655, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1669, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1861, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5068, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0616, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5398, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3967, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9256, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1502, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9016, device='cuda:0', grad_fn=<NllLossBackward0>)
